code,registers,us_campaign,us_filed,ca_recall,ca_filed,eu_case,eu_published,eu_notifying_country,eu_reference
01A5,2,15V311,2015-05-26,2015209,2015-05-15,,,,
01D7,2,,,2019469,2019-09-25,A12/00222/20,21/02/2020,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10000556
0416J,2,16V788,2016-10-28,2017079,2017-02-14,,,,
0516J,2,16V793,2016-10-31,2016568,2016-11-15,,,,
10G9,2,,,2021279,2021-05-13,A12/00938/21,25/06/2021,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10003957
10H5,2,,,2022122,2022-03-16,A12/00584/22,15/04/2022,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10005888
10X5,2,25V100,2025-02-17,2025079,2025-02-17,,,,
11041R,2,15V234,2015-04-20,2015167,2015-04-17,,,,
1114K,2,14V731,2014-11-13,2014517,2014-11-12,,,,
1115P,2,15V740,2015-11-09,2015531,2015-11-09,,,,
1115Q,2,15V889,2015-12-31,2015532,2015-11-09,,,,
115A,2,15V036,2015-01-27,2015032,2015-01-26,,,,
1213G,2,14V015,2014-01-27,2014022,2014-01-28,,,,
1213H,2,14V036,2014-02-05,2014061,2014-03-04,,,,
0161,2,14V536,2014-09-05,2014392,2014-09-10,,,,
0165,2,15V216,2015-04-13,2015172,2015-04-22,,,,
0167,2,15V474,2015-07-29,2015363,2015-08-11,,,,
0169,2,16V471,2016-06-27,2016420,2016-08-30,,,,
0175,2,,,2019593,2019-11-22,A12/00276/20,28/02/2020,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10000670
0179,2,22V745,2022-10-06,2022578,2022-10-12,,,,
0181,3,23V591,2023-08-22,2023473,2023-08-24,A12/02542/23,20/10/2023,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10010565
0182,3,23E063,2023-08-24,2023475,2023-08-24,A12/02569/23,27/10/2023,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10010563
0184,3,23V672,2023-10-04,2023545,2023-10-10,A12/02725/23,17/11/2023,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10010831
0185,3,23V836,2023-12-08,2023670,2023-12-11,A12/00843/24,05/04/2024,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10012326
0186,3,24V672,2024-09-16,2024533,2024-09-16,A12/03120/24,15/11/2024,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10091883
0187,3,24V753,2024-10-09,2024608,2024-10-15,A12/03492/24,06/12/2024,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10092361
0188,3,25V375,2025-06-06,2025311,2025-06-10,SR/04360/25,19/12/2025,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097020
0189,3,25E041,2025-06-12,2025312,2025-06-10,SR/04369/25,19/12/2025,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097021
0190,2,25V590,2025-09-10,2025486,2025-09-15,,,,
0191,2,26V075,2026-02-09,2026064,2026-02-13,,,,
0192,2,,,2026191,2026-04-16,SR/02316/26,21/08/2026,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10118612
0193,2,26V270,2026-04-28,2026216,2026-04-30,,,,
0618,2,14V725,2014-11-12,2014516,2014-11-12,,,,
